architecture,seed,trainable_parameters,best_epoch,validation_accuracy,validation_macro_f1,validation_loss,training_seconds,run_dir
residual_cnn,42,1661795,7,0.8728323699421965,0.8715416193008423,0.4648008641709711,47.724213700000064,classifier_artifacts/architecture_comparison/residual_cnn/seed_42
residual_cnn,123,1661795,3,0.8670520231213873,0.8664071559906006,0.4442825471275344,36.42993860000047,classifier_artifacts/architecture_comparison/residual_cnn/seed_123
residual_cnn,777,1661795,18,0.8863198458574181,0.8851778507232666,0.4937894631442766,57.02130570000031,classifier_artifacts/architecture_comparison/residual_cnn/seed_777
plain_cnn,42,1238691,9,0.9210019267822736,0.9204996824264526,0.3850186197858785,44.144163500000104,classifier_artifacts/architecture_comparison/plain_cnn/seed_42
plain_cnn,123,1238691,14,0.8863198458574181,0.8852764368057251,0.4042127834694004,51.697813900000256,classifier_artifacts/architecture_comparison/plain_cnn/seed_123
plain_cnn,777,1238691,19,0.905587668593449,0.9041315317153932,0.3917093009675399,60.34161310000013,classifier_artifacts/architecture_comparison/plain_cnn/seed_777
depthwise_cnn,42,137699,34,0.7861271676300579,0.7836474180221558,0.6346715835707266,75.22528559999932,classifier_artifacts/architecture_comparison/depthwise_cnn/seed_42
depthwise_cnn,123,137699,27,0.838150289017341,0.8396832942962646,0.5929858352637245,67.63661230000025,classifier_artifacts/architecture_comparison/depthwise_cnn/seed_123
depthwise_cnn,777,137699,25,0.8246628131021194,0.8269065618515015,0.5506972288694915,69.41013480000015,classifier_artifacts/architecture_comparison/depthwise_cnn/seed_777
crnn,42,404451,11,0.9017341040462428,0.9001173973083496,0.3830487258976365,43.52885360000005,classifier_artifacts/architecture_comparison/crnn/seed_42
crnn,123,404451,20,0.8940269749518305,0.8926369547843933,0.3979316864858932,56.761132500000485,classifier_artifacts/architecture_comparison/crnn/seed_123
crnn,777,404451,19,0.9210019267822736,0.9206255674362184,0.342515305861802,55.30943999999977,classifier_artifacts/architecture_comparison/crnn/seed_777
