path,prediction,confidence,p_American Robin,p_Northern Cardinal,p_Song Sparrow,expected,correct
outputs\conditional_vae\classifier_input\northern_cardinal\vae_northern_cardinal_000.npy,Northern Cardinal,0.6398391127586365,0.04873187094926834,0.6398391127586365,0.31142905354499817,Northern Cardinal,True
outputs\conditional_vae\classifier_input\northern_cardinal\vae_northern_cardinal_001.npy,Northern Cardinal,0.6332152485847473,0.04806637391448021,0.6332152485847473,0.31871840357780457,Northern Cardinal,True
outputs\conditional_vae\classifier_input\northern_cardinal\vae_northern_cardinal_002.npy,Northern Cardinal,0.6200343370437622,0.05150066316127777,0.6200343370437622,0.3284650444984436,Northern Cardinal,True
outputs\conditional_vae\classifier_input\northern_cardinal\vae_northern_cardinal_003.npy,Northern Cardinal,0.623232901096344,0.04987724870443344,0.623232901096344,0.32688984274864197,Northern Cardinal,True
outputs\conditional_vae\classifier_input\northern_cardinal\vae_northern_cardinal_004.npy,Northern Cardinal,0.6287976503372192,0.04930811747908592,0.6287976503372192,0.32189425826072693,Northern Cardinal,True
outputs\conditional_vae\classifier_input\northern_cardinal\vae_northern_cardinal_005.npy,Northern Cardinal,0.6317527294158936,0.04828093945980072,0.6317527294158936,0.31996631622314453,Northern Cardinal,True
outputs\conditional_vae\classifier_input\northern_cardinal\vae_northern_cardinal_006.npy,Northern Cardinal,0.6324576139450073,0.049192145466804504,0.6324576139450073,0.3183501958847046,Northern Cardinal,True
outputs\conditional_vae\classifier_input\northern_cardinal\vae_northern_cardinal_007.npy,Northern Cardinal,0.6361702680587769,0.04676482826471329,0.6361702680587769,0.31706491112709045,Northern Cardinal,True
outputs\conditional_vae\classifier_input\song_sparrow\vae_song_sparrow_000.npy,Northern Cardinal,0.6306577324867249,0.04854832962155342,0.6306577324867249,0.3207939565181732,Song Sparrow,False
outputs\conditional_vae\classifier_input\song_sparrow\vae_song_sparrow_001.npy,Northern Cardinal,0.6245595812797546,0.050627563148736954,0.6245595812797546,0.3248128294944763,Song Sparrow,False
outputs\conditional_vae\classifier_input\song_sparrow\vae_song_sparrow_002.npy,Northern Cardinal,0.6136837601661682,0.05163348838686943,0.6136837601661682,0.3346827030181885,Song Sparrow,False
outputs\conditional_vae\classifier_input\song_sparrow\vae_song_sparrow_003.npy,Northern Cardinal,0.6432881355285645,0.04921197518706322,0.6432881355285645,0.30749988555908203,Song Sparrow,False
outputs\conditional_vae\classifier_input\song_sparrow\vae_song_sparrow_004.npy,Northern Cardinal,0.6375811696052551,0.0478874072432518,0.6375811696052551,0.3145313858985901,Song Sparrow,False
outputs\conditional_vae\classifier_input\song_sparrow\vae_song_sparrow_005.npy,Northern Cardinal,0.625514805316925,0.05063679814338684,0.625514805316925,0.3238483965396881,Song Sparrow,False
outputs\conditional_vae\classifier_input\song_sparrow\vae_song_sparrow_006.npy,Northern Cardinal,0.6444346904754639,0.04784124344587326,0.6444346904754639,0.30772408843040466,Song Sparrow,False
outputs\conditional_vae\classifier_input\song_sparrow\vae_song_sparrow_007.npy,Northern Cardinal,0.6256589293479919,0.05038945749402046,0.6256589293479919,0.3239516019821167,Song Sparrow,False
