path,prediction,confidence,p_American Robin,p_Northern Cardinal,p_Song Sparrow,expected,correct
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_000.npy,American Robin,0.9353477954864502,0.9353477954864502,0.04389818385243416,0.020754022523760796,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_001.npy,American Robin,0.8975146412849426,0.8975146412849426,0.05765379220247269,0.04483162984251976,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_002.npy,American Robin,0.9525324106216431,0.9525324106216431,0.03240678459405899,0.01506081223487854,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_003.npy,American Robin,0.8670570850372314,0.8670570850372314,0.03751423954963684,0.09542872756719589,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_004.npy,American Robin,0.9542855620384216,0.9542855620384216,0.03053019568324089,0.01518426463007927,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_005.npy,American Robin,0.9861403703689575,0.9861403703689575,0.010133949108421803,0.003725786227732897,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_006.npy,American Robin,0.9763068556785583,0.9763068556785583,0.012888404540717602,0.010804674588143826,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_007.npy,American Robin,0.6760597825050354,0.6760597825050354,0.1807706654071808,0.14316953718662262,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_008.npy,American Robin,0.9782145023345947,0.9782145023345947,0.010532870888710022,0.011252637021243572,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_009.npy,American Robin,0.9645206928253174,0.9645206928253174,0.00986538827419281,0.025613952428102493,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_010.npy,American Robin,0.8790775537490845,0.8790775537490845,0.052800655364990234,0.06812182813882828,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_011.npy,American Robin,0.9146382212638855,0.9146382212638855,0.05411975085735321,0.03124205395579338,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_012.npy,American Robin,0.9833014011383057,0.9833014011383057,0.009879296645522118,0.006819344125688076,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_013.npy,American Robin,0.8721112608909607,0.8721112608909607,0.07798994332551956,0.04989878088235855,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_014.npy,American Robin,0.94375079870224,0.94375079870224,0.039610978215932846,0.016638273373246193,American Robin,True
outputs\conditional_vae_v3\classifier_input\american_robin\vae_v3_american_robin_015.npy,American Robin,0.9885991811752319,0.9885991811752319,0.007523497566580772,0.0038773545529693365,American Robin,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_000.npy,Northern Cardinal,0.6210453510284424,0.1585140973329544,0.6210453510284424,0.22044053673744202,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_001.npy,Northern Cardinal,0.9885060787200928,0.008955072611570358,0.9885060787200928,0.002538867760449648,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_002.npy,Northern Cardinal,0.9285740256309509,0.020366981625556946,0.9285740256309509,0.05105890706181526,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_003.npy,Northern Cardinal,0.9871728420257568,0.011933461762964725,0.9871728420257568,0.000893731543328613,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_004.npy,Northern Cardinal,0.8121923208236694,0.10479076206684113,0.8121923208236694,0.08301696181297302,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_005.npy,Northern Cardinal,0.9604521989822388,0.02758326567709446,0.9604521989822388,0.011964516714215279,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_006.npy,Northern Cardinal,0.9959439635276794,0.0030116732232272625,0.9959439635276794,0.0010443102801218629,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_007.npy,Northern Cardinal,0.9632931351661682,0.03018723800778389,0.9632931351661682,0.006519626826047897,Northern Cardinal,True
