model,species,sample,path,sample_rate,samples,sha256
transformer_8x16_seed42_temp_0.8,american_robin,000,audio/transformer_8x16_seed42_temp_0.8/american_robin_000.wav,22050,65536,1cee457ed5e220d6f45071cf9d7cfb2e0472c4cabb5d5533e4d0e30ce696dfc1
transformer_8x16_seed42_temp_0.8,american_robin,004,audio/transformer_8x16_seed42_temp_0.8/american_robin_004.wav,22050,65536,29d83cdc568da26026f55f80e05206e53b383cd12c5ed78deb7f28ed21f4fb34
transformer_8x16_seed42_temp_0.8,northern_cardinal,000,audio/transformer_8x16_seed42_temp_0.8/northern_cardinal_000.wav,22050,65536,211c3f1417ba068ed60539db333177297f28de66038d2665f99a23aefc46dcf9
transformer_8x16_seed42_temp_0.8,northern_cardinal,004,audio/transformer_8x16_seed42_temp_0.8/northern_cardinal_004.wav,22050,65536,cbcded609b522440827e77803b7033f9d28b012fecea0c650be6c2f0b1d8eb16
transformer_8x16_seed42_temp_0.8,song_sparrow,000,audio/transformer_8x16_seed42_temp_0.8/song_sparrow_000.wav,22050,65536,fc3e575aefa34ce779f351c9a843f35b5c83b8577397b7b0cbc171e7b8f400cf
transformer_8x16_seed42_temp_0.8,song_sparrow,004,audio/transformer_8x16_seed42_temp_0.8/song_sparrow_004.wav,22050,65536,abc89837198ac1a4e69bbda8bd7550cc15682d3555793e019337ed00be2d5420
wgan_stability_seed42,american_robin,000,audio/wgan_stability_seed42/american_robin_000.wav,22050,65536,7cfabd2d92c3caf0637a6a5c60eee9ed579d489901a4e69d1cb02d84745b66af
wgan_stability_seed42,american_robin,004,audio/wgan_stability_seed42/american_robin_004.wav,22050,65536,8172f4819cb578cea7347692471384c756b9933928d9d2ac8114f437e0517727
wgan_stability_seed42,northern_cardinal,000,audio/wgan_stability_seed42/northern_cardinal_000.wav,22050,65536,c383a439d74568a2167717a186ae9583811b850fdad6de8d3b95b66b68711729
wgan_stability_seed42,northern_cardinal,004,audio/wgan_stability_seed42/northern_cardinal_004.wav,22050,65536,ee1d98f1ea08aa5e2f57a0302311f62ac2231beb220ec84f8ceaf6d1c510dccf
wgan_stability_seed42,song_sparrow,000,audio/wgan_stability_seed42/song_sparrow_000.wav,22050,65536,3af25642e1170ab2def25c95cdb5860d2f33e0b0a8f694e766e1edffa8573825
wgan_stability_seed42,song_sparrow,004,audio/wgan_stability_seed42/song_sparrow_004.wav,22050,65536,0482c81ce56e2f7981389685abff2c7f5c2fb012e9aefdaf094fdc4a5f760658
