low_resource_subset_seed,low_resource_recording_rank,name,id,relative_wav_path
101,0,American Robin,322887,wavfiles/322887-3.wav
101,1,American Robin,322565,wavfiles/322565-8.wav
101,2,American Robin,537326,wavfiles/537326-11.wav
101,3,American Robin,34766,wavfiles/34766-1.wav
101,4,American Robin,13602,wavfiles/13602-0.wav
101,5,American Robin,205803,wavfiles/205803-14.wav
101,6,American Robin,322822,wavfiles/322822-4.wav
101,7,American Robin,177384,wavfiles/177384-7.wav
101,8,American Robin,78015,wavfiles/78015-4.wav
101,9,American Robin,375006,wavfiles/375006-11.wav
101,10,American Robin,464766,wavfiles/464766-7.wav
101,11,American Robin,70119,wavfiles/70119-3.wav
101,12,American Robin,322821,wavfiles/322821-6.wav
101,13,American Robin,309318,wavfiles/309318-6.wav
101,14,American Robin,564319,wavfiles/564319-15.wav
101,15,American Robin,103060,wavfiles/103060-2.wav
101,16,American Robin,384027,wavfiles/384027-5.wav
101,17,American Robin,165304,wavfiles/165304-9.wav
101,18,American Robin,269082,wavfiles/269082-8.wav
101,19,American Robin,416294,wavfiles/416294-3.wav
101,20,American Robin,367008,wavfiles/367008-12.wav
101,21,American Robin,394835,wavfiles/394835-3.wav
101,22,American Robin,320724,wavfiles/320724-2.wav
101,23,American Robin,406326,wavfiles/406326-6.wav
101,24,American Robin,97957,wavfiles/97957-11.wav
101,25,American Robin,383961,wavfiles/383961-8.wav
101,26,American Robin,190441,wavfiles/190441-4.wav
101,27,American Robin,14442,wavfiles/14442-2.wav
101,28,American Robin,564544,wavfiles/564544-5.wav
101,29,American Robin,175222,wavfiles/175222-11.wav
101,30,American Robin,310256,wavfiles/310256-7.wav
101,31,American Robin,407819,wavfiles/407819-9.wav
101,32,American Robin,129798,wavfiles/129798-5.wav
101,33,American Robin,563612,wavfiles/563612-11.wav
101,34,American Robin,322884,wavfiles/322884-4.wav
101,35,American Robin,309928,wavfiles/309928-0.wav
101,36,American Robin,446457,wavfiles/446457-9.wav
101,37,American Robin,559314,wavfiles/559314-6.wav
101,38,American Robin,103059,wavfiles/103059-9.wav
101,39,American Robin,294460,wavfiles/294460-7.wav
101,40,American Robin,483578,wavfiles/483578-12.wav
101,41,American Robin,307484,wavfiles/307484-12.wav
101,42,American Robin,132864,wavfiles/132864-4.wav
101,43,American Robin,368615,wavfiles/368615-10.wav
101,44,American Robin,322734,wavfiles/322734-3.wav
101,45,American Robin,563197,wavfiles/563197-1.wav
101,46,American Robin,423449,wavfiles/423449-12.wav
101,47,American Robin,375274,wavfiles/375274-9.wav
101,48,American Robin,382342,wavfiles/382342-7.wav
101,49,American Robin,313351,wavfiles/313351-5.wav
101,0,Northern Cardinal,356804,wavfiles/356804-3.wav
101,1,Northern Cardinal,211633,wavfiles/211633-2.wav
101,2,Northern Cardinal,559516,wavfiles/559516-4.wav
101,3,Northern Cardinal,466178,wavfiles/466178-6.wav
101,4,Northern Cardinal,172437,wavfiles/172437-9.wav
101,5,Northern Cardinal,370494,wavfiles/370494-4.wav
101,6,Northern Cardinal,412669,wavfiles/412669-2.wav
101,7,Northern Cardinal,408321,wavfiles/408321-9.wav
101,8,Northern Cardinal,166106,wavfiles/166106-7.wav
101,9,Northern Cardinal,220401,wavfiles/220401-14.wav
101,10,Northern Cardinal,109035,wavfiles/109035-0.wav
101,11,Northern Cardinal,367804,wavfiles/367804-10.wav
101,12,Northern Cardinal,220402,wavfiles/220402-10.wav
101,13,Northern Cardinal,363861,wavfiles/363861-3.wav
101,14,Northern Cardinal,559279,wavfiles/559279-5.wav
101,15,Northern Cardinal,367706,wavfiles/367706-6.wav
101,16,Northern Cardinal,54652,wavfiles/54652-7.wav
101,17,Northern Cardinal,190456,wavfiles/190456-6.wav
101,18,Northern Cardinal,317502,wavfiles/317502-12.wav
101,19,Northern Cardinal,18344,wavfiles/18344-15.wav
101,20,Northern Cardinal,564312,wavfiles/564312-13.wav
101,21,Northern Cardinal,373569,wavfiles/373569-1.wav
101,22,Northern Cardinal,71208,wavfiles/71208-0.wav
101,23,Northern Cardinal,324411,wavfiles/324411-4.wav
101,24,Northern Cardinal,302932,wavfiles/302932-8.wav
101,25,Northern Cardinal,165345,wavfiles/165345-9.wav
101,26,Northern Cardinal,11846,wavfiles/11846-6.wav
101,27,Northern Cardinal,20420,wavfiles/20420-2.wav
101,28,Northern Cardinal,460742,wavfiles/460742-0.wav
101,29,Northern Cardinal,235432,wavfiles/235432-12.wav
101,30,Northern Cardinal,169226,wavfiles/169226-11.wav
101,31,Northern Cardinal,418321,wavfiles/418321-0.wav
101,32,Northern Cardinal,544966,wavfiles/544966-7.wav
101,33,Northern Cardinal,18125,wavfiles/18125-1.wav
101,34,Northern Cardinal,72185,wavfiles/72185-4.wav
101,35,Northern Cardinal,11713,wavfiles/11713-2.wav
101,36,Northern Cardinal,138075,wavfiles/138075-16.wav
101,37,Northern Cardinal,266643,wavfiles/266643-4.wav
101,38,Northern Cardinal,196163,wavfiles/196163-6.wav
101,39,Northern Cardinal,445757,wavfiles/445757-6.wav
101,40,Northern Cardinal,412330,wavfiles/412330-0.wav
101,41,Northern Cardinal,463767,wavfiles/463767-1.wav
101,42,Northern Cardinal,464152,wavfiles/464152-7.wav
101,43,Northern Cardinal,185240,wavfiles/185240-10.wav
101,44,Northern Cardinal,483878,wavfiles/483878-6.wav
101,45,Northern Cardinal,560427,wavfiles/560427-6.wav
101,46,Northern Cardinal,375382,wavfiles/375382-12.wav
101,47,Northern Cardinal,109034,wavfiles/109034-11.wav
101,48,Northern Cardinal,466697,wavfiles/466697-3.wav
101,49,Northern Cardinal,469588,wavfiles/469588-11.wav
101,0,Song Sparrow,111667,wavfiles/111667-6.wav
101,1,Song Sparrow,483884,wavfiles/483884-5.wav
101,2,Song Sparrow,125714,wavfiles/125714-2.wav
101,3,Song Sparrow,181738,wavfiles/181738-0.wav
101,4,Song Sparrow,111645,wavfiles/111645-5.wav
101,5,Song Sparrow,376028,wavfiles/376028-5.wav
101,6,Song Sparrow,493448,wavfiles/493448-0.wav
101,7,Song Sparrow,103449,wavfiles/103449-6.wav
101,8,Song Sparrow,327795,wavfiles/327795-4.wav
101,9,Song Sparrow,18387,wavfiles/18387-8.wav
101,10,Song Sparrow,142620,wavfiles/142620-11.wav
101,11,Song Sparrow,282625,wavfiles/282625-7.wav
