model,seed,classifier,sample_count,accuracy,macro_f1,macro_recall,mean_confidence,mean_entropy
vae_v3,42,crnn,600,0.965,0.9649366006417325,0.965,0.9431807398796082,0.2124754786491394
vae_v3,123,crnn,600,0.9666666666666667,0.966585398709816,0.9666666666666667,0.9398832321166992,0.216549351811409
vae_v3,777,crnn,600,0.975,0.9749558186740613,0.975,0.9460520148277283,0.2066756784915924
diffusion,42,crnn,600,0.345,0.19278375149342888,0.345,0.8433196544647217,0.4504561722278595
diffusion,123,crnn,600,0.9266666666666666,0.9263960217657726,0.9266666666666667,0.9285311698913574,0.23391474783420563
diffusion,777,crnn,600,0.9316666666666666,0.9312510774689731,0.9316666666666666,0.9395730495452881,0.21340470016002655
vae_v3,42,residual,600,0.9883333333333333,0.9883326770464173,0.9883333333333333,0.9192094206809998,0.27491724491119385
vae_v3,123,residual,600,0.9833333333333333,0.9833295824893935,0.9833333333333334,0.919731855392456,0.2742236256599426
vae_v3,777,residual,600,0.9916666666666667,0.991666197890298,0.9916666666666667,0.9235396385192871,0.26493871212005615
diffusion,42,residual,600,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.8898089528083801,0.3971664309501648
diffusion,123,residual,600,0.9083333333333333,0.9081604428603627,0.9083333333333332,0.8723970651626587,0.3582936227321625
diffusion,777,residual,600,0.9166666666666666,0.9163450000946837,0.9166666666666666,0.8747894167900085,0.3503730297088623
