model,seed,classifier,exact_train_duplicate_count,species,validation_threshold_quantile,copy_risk_threshold,generated_count,nearest_train_min,nearest_train_median,below_threshold_count,below_threshold_fraction
vae_v3,42,crnn,0,American Robin,0.05,2.064185292415126,200,1.5149552657791965,2.7566094862380797,34,0.17
vae_v3,42,crnn,0,Northern Cardinal,0.05,2.6660608397292354,200,1.0164821265973627,2.6442984407312102,101,0.505
vae_v3,42,crnn,0,Song Sparrow,0.05,2.504536726941428,200,0.8750153719190471,2.7784765209983204,79,0.395
vae_v3,123,crnn,0,American Robin,0.05,2.064185292415126,200,1.5296774645764677,2.837560532104945,35,0.175
vae_v3,123,crnn,0,Northern Cardinal,0.05,2.6660608397292354,200,0.9852436198867883,2.772892029429975,95,0.475
vae_v3,123,crnn,0,Song Sparrow,0.05,2.504536726941428,200,0.8770761199176905,2.5786058563874885,94,0.47
vae_v3,777,crnn,0,American Robin,0.05,2.064185292415126,200,1.539473224029672,2.8660173545007073,33,0.165
vae_v3,777,crnn,0,Northern Cardinal,0.05,2.6660608397292354,200,0.9886801551464379,2.7195671608199214,98,0.49
vae_v3,777,crnn,0,Song Sparrow,0.05,2.504536726941428,200,0.874185834789428,2.6665011054628236,91,0.455
diffusion,42,crnn,0,American Robin,0.05,2.064185292415126,200,2.1901129203737253,4.091717993682227,0,0.0
diffusion,42,crnn,0,Northern Cardinal,0.05,2.6660608397292354,200,2.0838310860313216,4.398147056885238,9,0.045
diffusion,42,crnn,0,Song Sparrow,0.05,2.504536726941428,200,2.2079306050752674,4.296921757280717,3,0.015
diffusion,123,crnn,0,American Robin,0.05,2.064185292415126,200,2.1875656945122266,3.796606007644687,0,0.0
diffusion,123,crnn,0,Northern Cardinal,0.05,2.6660608397292354,200,1.8790679745144878,4.225746035727761,12,0.06
diffusion,123,crnn,0,Song Sparrow,0.05,2.504536726941428,200,1.9462707728019524,4.318162103150973,5,0.025
diffusion,777,crnn,0,American Robin,0.05,2.064185292415126,200,2.241357552904446,4.190574256016242,0,0.0
diffusion,777,crnn,0,Northern Cardinal,0.05,2.6660608397292354,200,1.9700078339029992,4.058058976777893,13,0.065
diffusion,777,crnn,0,Song Sparrow,0.05,2.504536726941428,200,2.1516183415736148,4.276178809629349,3,0.015
