model,repeat,sample_count,seconds,samples_per_second,peak_cuda_memory_bytes,incremental_peak_cuda_memory_bytes
vae_v3,1,600,0.2982899999988149,2011.4653525172946,199008768,75867136
vae_v3,2,600,0.307629500000985,1950.3981250110241,199008768,75867136
vae_v3,3,600,0.3045541999999841,1970.0926797267327,199008768,75867136
vae_v3,4,600,0.2975249999999505,2016.6372573736653,199008768,75867136
vae_v3,5,600,0.32123590000082913,1867.7862592520057,199008768,75867136
diffusion,1,600,417.33151160000034,1.4377059563503125,357850112,272641536
diffusion,2,600,410.86057900000014,1.4603493999359811,357850112,272641536
diffusion,3,600,411.1813863999996,1.459210022256009,357850112,272641536
diffusion,4,600,411.2319186000004,1.4590307144509658,357850112,272641536
diffusion,5,600,410.9396476999991,1.4600684148102006,357850112,272641536
