path,prediction,confidence,p_American Robin,p_Northern Cardinal,p_Song Sparrow,expected,correct
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_000.npy,American Robin,0.7919756174087524,0.7919756174087524,0.12533093988895416,0.08269339799880981,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_001.npy,American Robin,0.5195021033287048,0.5195021033287048,0.3802894055843353,0.10020852088928223,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_002.npy,American Robin,0.8434506058692932,0.8434506058692932,0.11604998260736465,0.04049943387508392,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_003.npy,American Robin,0.6510208249092102,0.6510208249092102,0.22763600945472717,0.12134318798780441,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_004.npy,American Robin,0.7940461039543152,0.7940461039543152,0.14178013801574707,0.06417372822761536,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_005.npy,American Robin,0.6754286885261536,0.6754286885261536,0.22049039602279663,0.10408094525337219,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_006.npy,American Robin,0.5294027924537659,0.5294027924537659,0.25030776858329773,0.2202894240617752,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_007.npy,American Robin,0.6396729350090027,0.6396729350090027,0.22015883028507233,0.14016824960708618,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_008.npy,American Robin,0.5762498378753662,0.5762498378753662,0.21848902106285095,0.20526118576526642,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_009.npy,American Robin,0.6082572937011719,0.6082572937011719,0.3220754861831665,0.06966714560985565,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_010.npy,American Robin,0.6966539025306702,0.6966539025306702,0.12459982186555862,0.1787462830543518,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_011.npy,American Robin,0.6288959383964539,0.6288959383964539,0.31093692779541016,0.06016717478632927,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_012.npy,American Robin,0.6112027764320374,0.6112027764320374,0.32929307222366333,0.05950416624546051,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_013.npy,American Robin,0.5007287263870239,0.5007287263870239,0.3307662010192871,0.16850508749485016,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_014.npy,American Robin,0.7330324053764343,0.7330324053764343,0.07855977863073349,0.18840785324573517,American Robin,True
outputs\conditional_vae_v2\classifier_input\american_robin\vae_v2_american_robin_015.npy,Northern Cardinal,0.5245142579078674,0.41555365920066833,0.5245142579078674,0.05993203818798065,American Robin,False
outputs\conditional_vae_v2\classifier_input\northern_cardinal\vae_v2_northern_cardinal_000.npy,American Robin,0.4599575400352478,0.4599575400352478,0.4238993227481842,0.11614319682121277,Northern Cardinal,False
